"reps_used","avg_accuracy","avg_confidence"
1,0.213800904977376,0.950258442649773
5,0.244739819004525,0.99950507588892
10,0.283653846153846,0.999052918310384
15,0.263009049773756,1
20,0.243834841628959,0.999584014856015
25,0.243834841628959,1
30,0.236595022624434,0.999999992026431
40,0.251244343891403,0.999999998874137
50,0.207805429864253,0.999999998386749
